row_index,aave_meta,aave_olmo,sae_meta,sae_olmo
566,"No threatening or violent language, appears to be a story about a child","Story about babysitting, not related to health insurance.","No suicidal or self-harm language detected, and the author is sharing a lighthearted story","Describes a childhood incident, not health insurance relevant."
90,"No threatening or violent language, appears to be a message about work safety","Mentions safety concerns about going to work, but not about health insurance.","No suicidal or self-harm language detected, and the author is expressing caution","Mentions safety concerns about going to work, which may relate to health or employment verification."
689,,No health-related content.,,Mention of inability to afford something unrelated to health.
2009,,No health-related content.,,"Expression of frustration, not health-related."
189,,"Relationship question, not health-related.",,"Discussion about relationships, not health."
778,,No health-related content.,,"Expression of personal struggle, not health insurance relevant."
198,,"Refers to music and car, not health.",,"Talking about music, not health."
735,,"Aggressive language, not health-related.",,"Confrontational language, not health-related."
1735,,"Relationship banter, not health-related.",,"Discussion of boundaries and respect, not health insurance."
704,,"Sports commentary, not health-related.",,"Sports commentary, not health-related."
1236,,"Mentions buying drinks, not health-related.",,"Mention of buying drinks, not health."
541,,"Sports comparison, not health-related.",,"Sports criticism, not health-related."
9,,"Describes emotional state, not health-specific.",,"Describes handling a snake, not health-related."
1974,,No health-related content.,,No health-related content.
2017,,"Describes a music venue, not health-related.",,"Seeking music venue, not health-related."
601,,"Personal statement, not health-related.",,"Personal behavior statement, not health-related."
890,,"Describes a party scene, not health-related.",,"Describes an event, not health-related."
323,,"Discusses bowel movements and hygiene, relevant to health.",,"Crude humor about bathroom habits, not a health verification issue."
929,,Casual conversation about music and family.,,"Casual conversation about a movie, not health-related."
1478,,"Talks about technology and work, not health.",,"Comment on technology and work, not health-related."
1793,,"Mentions a video, no health content.",,"Describes a video, contains offensive language but not health verification."
1473,,"Work-related telecommuting, not health.",,"Work arrangement comment, not health-related."
14,,No health-related content.,,No health-related content.
145,,"Community service, not health-related.",,"Community service statement, not health-related."
1449,,No health verification needed.,,No clear health insurance verification need.
1292,,"Food preference, not health-related.",,"Food preference, not health-related."
120,,No health content.,,"Describes a hypothetical scenario, not health-related."
468,,"Food metaphor, not health verification.",,"Sports commentary, not health-related."
138,,Work-related complaint.,,"Workplace frustration, not health-related."
64,,No clear health verification need.,,"Personal relationship statement, not health-related."
676,,Social outing plan.,,"Plans for a trip, not health-related."
1727,,"Invention idea, not health-related.",,"Invention idea, not health-related."
